,appID,Score
159,220,"(0.8882735104789184, 0.9050282046806599)"
160,220200,"(0.8688609641421311, 0.9134724587857006)"
161,220240,"(0.8694200768197703, 0.7595492866547967)"
162,221040,"(0.8922169716227248, 0.8519644549658831)"
163,221100,"(0.8540972802597976, 0.9241525269652805)"
164,221380,"(0.8932325695313345, 0.8876853620369648)"
165,221680,"(0.880719540225301, 0.8819795891582752)"
166,222880,"(0.9189384177591263, 0.89093772897414)"
167,22320,"(0.8952095480487878, 0.9246670321057433)"
168,22330,"(0.9018850810428226, 0.888591501566501)"
169,223470,"(0.9045707042733372, 0.9110575779264382)"
170,22370,"(0.8363011871843564, 0.8289770425330786)"
171,223750,"(0.8901446009409104, 0.9018549182606932)"
172,22380,"(0.881351891854528, 0.9191893125723716)"
173,223850,"(0.7970878411751529, 0.8502198485948397)"
174,224260,"(0.8693498403812923, 0.8554944640322304)"
175,22490,"(0.8948916343899102, 0.9056932828424654)"
176,224900,"(0.8731754894490921, 0.8959100971605988)"
177,225540,"(0.8960303181296447, 0.9055575933388306)"
178,225840,"(0.8957828301794125, 0.9278309754619929)"
179,226840,"(0.9017759581881368, 0.8389409640184172)"
180,226860,"(0.8644056691481788, 0.8766791125334684)"
181,227300,"(0.555883617484029, 0.9662663780673045)"
182,227940,"(0.8914521480827085, 0.8884557948564873)"
183,228180,"(0.8953664960334956, 0.8632893321929795)"
184,228200,"(0.8818116721070487, 0.927282178008476)"
185,228280,"(0.9047609724106939, 0.9006850221497192)"
186,228380,"(0.8053533640198579, 0.8072835325836416)"
187,230290,"(0.8891797962626748, 0.890321413690004)"
188,230410,"(0.8725487212898029, 0.8925980240888036)"
189,231120,"(0.8432139015076905, 0.9296545591119716)"
190,231430,"(0.8763896496220241, 0.8968019037765503)"
191,231670,"(0.8737537700327735, 0.9585210986904098)"
192,232090,"(0.8492895857221516, 0.8692211624770401)"
193,232890,"(0.8983064639562155, 0.9094665556930367)"
194,233450,"(0.8795694830691445, 0.8784174557826093)"
195,233860,"(0.9712565613082683, 0.9934740528113213)"
196,234140,"(0.82925559660033, 0.8714879480335147)"
197,234330,"(0.8567494456866326, 0.9042723112512683)"
198,236110,"(0.875232176516582, 0.8936619805251796)"
199,236390,"(0.8952576828936292, 0.9159415913574867)"
200,236430,"(0.6020782538394853, 0.9455938430198688)"
201,236690,"(0.8593241910118185, 0.8433133113615138)"
202,236850,"(0.9011645209124055, 0.8576987904334686)"
203,236870,"(0.8547699722442456, 0.8974185631882635)"
204,237310,"(0.8731910870315224, 0.9005513457924103)"
205,238010,"(0.8744638084625219, 0.8887049604286578)"
206,238090,"(0.8707678051577848, 0.8638952032051519)"
207,238320,"(0.8929050289034886, 0.9117893652190567)"
208,238460,"(0.8471465656487667, 0.8621098865417423)"
209,238960,"(0.6991510534058486, 0.8543326893320751)"
