,appID,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,percentPos,hasMult,numLang,avMedDiff,sameDevPub
135,209000,Batman: Arkham Origins,"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment,,29655.0,4387.0,0.0,"2,000,000 .. 5,000,000",1410.0,88.0,1092.0,88.0,1999.0,1999.0,0.0,429.0,"English, German, French, Italian, Korean, Spanish - Spain, Russian, Polish, Portuguese - Brazil",Action,"{'Action': 893, 'Open World': 658, 'Superhero': 630, 'Adventure': 597, 'Third Person': 505, 'Stealth': 489, 'Singleplayer': 353, 'Multiplayer': 264, 'Fighting': 249, ""Beat 'em up"": 238, 'Comic Book': 217, 'Detective': 183, 'Story Rich': 169, 'Atmospheric': 131, 'Action-Adventure': 126, 'Controller': 116, '3D Vision': 97, 'Sandbox': 82, 'Third-Person Shooter': 33, 'RPG': 18}",0.871129780858939,True,9,552.0,False
136,20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",,60420.0,6505.0,0.0,"2,000,000 .. 5,000,000",783.0,124.0,231.0,163.0,1999.0,1999.0,0.0,1115.0,"English, German, French, Spanish - Spain, Russian, Czech, Hungarian, Japanese, Polish, Turkish, Traditional Chinese, Italian",RPG,"{'RPG': 3712, 'Fantasy': 2300, 'Mature': 1804, 'Story Rich': 1669, 'Choices Matter': 1618, 'Singleplayer': 1527, 'Third Person': 1473, 'Adventure': 1418, 'Nudity': 1389, 'Dark Fantasy': 1380, 'Multiple Endings': 1027, 'Action': 975, 'Open World': 945, 'Atmospheric': 886, 'Based On A Novel': 831, 'Well-Written': 817, 'Difficult': 662, 'Medieval': 630, 'Magic': 607, 'Dark': 587}",0.9028016436309302,False,12,646.0,False
137,211420,DARK SOULS: Prepare To Die Edition,FromSoftware,BANDAI NAMCO Entertainment,,68729.0,6372.0,0.0,"2,000,000 .. 5,000,000",2740.0,0.0,1521.0,0.0,0.0,0.0,0.0,413.0,"English, French, German, Italian, Polish, Russian, Spanish - Spain, Korean, Traditional Chinese, Japanese",Action,"{'Souls-like': 3879, 'RPG': 3587, 'Dark Fantasy': 2764, 'Difficult': 2548, 'Action': 2011, 'Exploration': 1566, 'Lore-Rich': 1444, 'Fantasy': 1392, 'Unforgiving': 1342, 'Adventure': 1119, 'Atmospheric': 986, 'Immersive': 844, 'Third Person': 798, 'Action RPG': 796, 'Addictive': 749, 'Open World': 664, 'Replay Value': 663, 'Dark': 651, 'Multiplayer': 595, 'Great Soundtrack': 571}",0.9151542589313059,True,10,318.0,False
138,211500,RaceRoom Racing Experience,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",,10492.0,4405.0,0.0,"2,000,000 .. 5,000,000",207.0,0.0,53.0,0.0,0.0,0.0,0.0,1031.0,"English, French, German, Italian, Spanish - Spain",Other,"{'Racing': 1723, 'Automobile Sim': 1539, 'Free to Play': 1008, 'Multiplayer': 601, 'Simulation': 519, 'Driving': 482, 'Sports': 386, 'Singleplayer': 201, 'Realistic': 192, 'Action': 177, 'Controller': 164, 'First-Person': 148, 'Open World': 134, 'Massively Multiplayer': 104, 'Online Co-Op': 101, 'VR': 100, 'Co-op': 98, 'Adventure': 72, 'Casual': 22, 'FPS': 17}",0.7043028797744513,True,5,552.0,False
139,211820,Starbound,Chucklefish,Chucklefish,,141198.0,10578.0,0.0,"2,000,000 .. 5,000,000",3191.0,943.0,1079.0,1377.0,1499.0,1499.0,0.0,2563.0,English,Action,"{'Open World Survival Craft': 5185, 'Sandbox': 4574, 'Survival': 3180, 'Adventure': 3110, 'Space': 3034, 'Crafting': 2910, 'Online Co-Op': 2858, 'Relaxing': 2764, 'Pixel Graphics': 2761, 'Multiplayer': 2755, 'Open World': 2735, 'Exploration': 2726, 'Indie': 2715, 'Action': 2444, '2D': 2438, 'Co-op': 2360, 'RPG': 2360, 'Atmospheric': 2357, 'Building': 2352, 'Sci-fi': 1331}",0.9303051865907653,True,1,1219.0,False
140,212160,Vindictus,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.,,4815.0,2032.0,0.0,"1,000,000 .. 2,000,000",867.0,0.0,53.0,0.0,0.0,0.0,0.0,472.0,English,Action,"{'Free to Play': 288, 'Action': 184, 'Massively Multiplayer': 183, 'Hack and Slash': 183, 'RPG': 176, 'MMORPG': 159, 'Character Customization': 93, 'Adventure': 92, 'Nudity': 87, 'Third Person': 72, 'Multiplayer': 71, 'Co-op': 70, 'Action RPG': 62, 'Fantasy': 49, 'PvP': 48, 'Open World': 38, 'Singleplayer': 34, 'Gore': 32, 'Violent': 32, 'Fast-Paced': 31}",0.7032276909595443,True,1,154.0,False
141,212200,Mabinogi,NEXON Korea Corp.,Nexon America Inc.,,2369.0,798.0,0.0,"500,000 .. 1,000,000",53.0,0.0,59.0,0.0,0.0,0.0,0.0,673.0,English,Action,"{'Free to Play': 185, 'Massively Multiplayer': 156, 'Anime': 151, 'RPG': 141, 'Action': 108, 'Casual': 107, 'Simulation': 103, 'Adventure': 101, 'MMORPG': 98, 'Open World': 50, 'Fantasy': 46, 'Multiplayer': 24, 'Sandbox': 19, 'Cute': 15, 'Action RPG': 14, 'Character Customization': 12, 'JRPG': 8, 'Story Rich': 5, 'Great Soundtrack': 5, 'Nudity': 5}",0.7480265235238396,True,1,2112.0,True
142,212500,The Lord of the Rings Online,"Standing Stone Games, LLC","Standing Stone Games, LLC",,10814.0,2557.0,0.0,"2,000,000 .. 5,000,000",2207.0,47.0,96.0,47.0,0.0,0.0,0.0,1097.0,"English, French, German",Other,"{'Free to Play': 834, 'MMORPG': 563, 'Massively Multiplayer': 497, 'Fantasy': 471, 'Open World': 464, 'RPG': 456, 'Adventure': 320, 'Multiplayer': 306, 'Based On A Novel': 230, 'Character Customization': 228, 'Exploration': 218, 'Action': 213, 'Story Rich': 183, 'Co-op': 161, 'Online Co-Op': 160, 'Survival': 139, 'Third Person': 133, 'PvP': 125, 'Singleplayer': 122, 'Dark Fantasy': 111}",0.8087652382020791,True,3,814.0,False
143,212680,FTL: Faster Than Light,Subset Games,Subset Games,,57706.0,2401.0,0.0,"2,000,000 .. 5,000,000",1410.0,110.0,607.0,166.0,999.0,999.0,0.0,1925.0,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese",Other,"{'Rogue-like': 2749, 'Space': 2515, 'Strategy': 2085, 'Sci-fi': 1997, 'Indie': 1955, 'Singleplayer': 1626, 'Perma Death': 1449, 'Difficult': 1303, 'Replay Value': 1246, 'Real-Time with Pause': 1055, 'Great Soundtrack': 939, '2D': 867, 'Simulation': 683, 'Rogue-lite': 657, 'Survival': 620, 'Adventure': 493, 'Pixel Graphics': 462, 'RPG': 292, 'Atmospheric': 289, 'Addictive': 107}",0.9600545693513235,False,10,-6.0,False
144,212740,TERA - Action MMORPG,"Bluehole, Inc.",Gameforge 4D GmbH,,4855.0,1395.0,0.0,"1,000,000 .. 2,000,000",990.0,109.0,207.0,214.0,0.0,0.0,0.0,749.0,"English, German, French, Russian",Action,"{'Massively Multiplayer': 397, 'MMORPG': 390, 'Free to Play': 378, 'RPG': 374, 'Class-Based': 358, 'Fantasy': 354, 'Action': 348, 'PvE': 340, 'PvP': 338, 'Open World': 336, 'Adventure': 328, 'Multiplayer': 323, 'Co-op': 316, 'Action RPG': 311, 'Action-Adventure': 307, 'Online Co-Op': 295, 'Mystery': 295, 'Character Customization': 293, 'Spectacle fighter': 292, 'Third Person': 285}",0.7768,True,4,2111.0,True
